identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
afrr:2025-01-18:20-24:up,up,1712,1728,16.86,1.0,4.0,4.0,0.8635697265625,58.239142359374995
afrr:2025-01-19:0-4:up,up,1728,1744,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-19:4-8:up,up,1744,1760,16.86,1.0,4.0,4.0,0.7316000000000001,49.339104000000006
afrr:2025-01-19:8-12:up,up,1760,1776,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-19:12-16:up,up,1776,1792,16.86,1.0,4.0,4.0,0.9897142857142853,66.7463314285714
afrr:2025-01-19:16-20:up,up,1792,1808,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-19:20-24:up,up,1808,1824,16.86,1.0,4.0,4.0,0.7228923076923077,48.75185723076923
afrr:2025-01-20:0-4:up,up,1824,1840,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-20:4-8:up,up,1840,1856,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-20:8-12:up,up,1856,1872,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-20:12-16:up,up,1872,1888,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-20:16-20:up,up,1888,1904,16.86,1.0,4.0,4.0,0.8858186666666665,59.73961087999999
afrr:2025-01-20:20-24:up,up,1904,1920,16.86,1.0,4.0,4.0,0.8717866666666667,58.7932928
afrr:2025-01-21:0-4:up,up,1920,1936,16.86,1.0,4.0,4.0,0.95275,64.25345999999999
afrr:2025-01-21:4-8:up,up,1936,1952,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-21:8-12:up,up,1952,1968,16.86,1.0,4.0,4.0,0.9663499999999999,65.170644
afrr:2025-01-21:12-16:up,up,1968,1984,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-21:16-20:up,up,1984,2000,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-21:20-24:up,up,2000,2016,16.86,1.0,4.0,4.0,0.451102274987206,30.422337425137172
afrr:2025-01-22:0-4:up,up,2016,2032,16.86,1.0,4.0,4.0,0.39520000000000016,26.65228800000001
afrr:2025-01-22:4-8:up,up,2032,2048,16.86,1.0,4.0,4.0,0.9559000000000001,64.465896
afrr:2025-01-22:8-12:up,up,2048,2064,16.86,1.0,4.0,4.0,0.8805125,59.381763
afrr:2025-01-22:12-16:up,up,2064,2080,16.86,1.0,4.0,4.0,0.8180266666666667,55.1677184
afrr:2025-01-22:16-20:up,up,2080,2096,16.86,1.0,4.0,4.0,0.69324,46.75210559999999
afrr:2025-01-22:20-24:up,up,2096,2112,16.86,1.0,4.0,4.0,0.8814075000000001,59.44212180000001
afrr:2025-01-23:0-4:up,up,2112,2128,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-23:4-8:up,up,2128,2144,16.86,1.0,4.0,4.0,0.8566000000000001,57.769104000000006
afrr:2025-01-23:8-12:up,up,2144,2160,16.86,1.0,4.0,4.0,0.9464625,63.829431
