identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
mfrr:2025-10-22:16-20:up,up,28284,28300,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-22:20-24:up,up,28300,28316,8.684999999999999,1.0,4.0,4.0,0.6875250625879225,23.884620674304422
mfrr:2025-10-23:8-12:up,up,28348,28364,8.684999999999999,1.0,4.0,4.0,0.6875250625879225,23.884620674304422
mfrr:2025-10-23:12-16:up,up,28364,28380,8.684999999999999,1.0,4.0,4.0,0.6875250625879225,23.884620674304422
mfrr:2025-10-23:16-20:up,up,28380,28396,8.684999999999999,1.0,4.0,4.0,0.6875250625879225,23.884620674304422
mfrr:2025-10-24:8-12:up,up,28444,28460,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-24:16-20:up,up,28476,28492,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-25:16-20:up,up,28572,28588,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-26:16-20:up,up,28672,28688,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-27:8-12:up,up,28736,28752,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-27:12-16:up,up,28752,28768,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-27:16-20:up,up,28768,28784,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-27:20-24:up,up,28784,28800,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-28:16-20:up,up,28864,28880,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-28:20-24:up,up,28880,28896,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-29:4-8:up,up,28912,28928,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-29:16-20:up,up,28960,28976,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-29:20-24:up,up,28976,28992,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-30:4-8:up,up,29008,29024,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-10-30:20-24:up,up,29072,29088,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-11-02:12-16:up,up,29328,29344,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-03:16-20:up,up,29440,29456,8.684999999999999,1.0,4.0,4.0,0.8840763679914876,30.712813024024275
mfrr:2025-11-03:20-24:up,up,29456,29472,8.684999999999999,1.0,4.0,4.0,0.8840763679914876,30.712813024024275
mfrr:2025-11-04:16-20:up,up,29536,29552,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-04:20-24:up,up,29552,29568,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-05:16-20:up,up,29632,29648,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-05:20-24:up,up,29648,29664,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-06:8-12:up,up,29696,29712,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-06:16-20:up,up,29728,29744,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-06:20-24:up,up,29744,29760,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-07:16-20:up,up,29824,29840,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-08:12-16:up,up,29904,29920,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-08:16-20:up,up,29920,29936,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-09:12-16:up,up,30000,30016,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-09:16-20:up,up,30016,30032,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-10:16-20:up,up,30112,30128,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-11:16-20:up,up,30208,30224,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-12:8-12:up,up,30272,30288,8.684999999999999,1.0,4.0,4.0,0.9927136968177811,34.48687382744971
mfrr:2025-11-12:16-20:up,up,30304,30320,8.684999999999999,1.0,4.0,4.0,0.8131007942728834,28.247121593039964
mfrr:2025-11-13:16-20:up,up,30400,30416,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-14:8-12:up,up,30464,30480,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-11-14:12-16:up,up,30480,30496,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-11-15:4-8:up,up,30544,30560,8.684999999999999,1.0,4.0,4.0,0.9559000000000001,33.207966
mfrr:2025-11-15:8-12:up,up,30560,30576,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-15:12-16:up,up,30576,30592,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-15:16-20:up,up,30592,30608,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-15:20-24:up,up,30608,30624,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-16:16-20:up,up,30688,30704,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-16:20-24:up,up,30704,30720,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-17:8-12:up,up,30752,30768,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-17:16-20:up,up,30784,30800,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-17:20-24:up,up,30800,30816,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-18:4-8:up,up,30832,30848,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-11-18:8-12:up,up,30848,30864,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
